customer_id,gender,region,age,product_name,category,unit_price,quantity,total_price,shipping_fee,shipping_status,order_date,total_sales,profit
CUST0066,Male,North,58,Smartphone,Electronics,800,4,3200,18.11,In Transit,30-12-2023,3200,640
CUST0067,Female,West,24,Headphones,Accessories,100,3,300,8.49,In Transit,21-02-2023,300,60
CUST0068,Male,North,63,Mouse,Accessories,30,1,30,13.28,Returned,11-09-2023,30,6
CUST0069,Male,East,44,Headphones,Accessories,100,2,200,8.15,In Transit,09-05-2023,200,40
CUST0070,Male,North,42,Mouse,Accessories,30,2,60,18.98,In Transit,02-02-2023,60,12
CUST0071,Male,West,48,Laptop,Electronics,1500,5,7500,15.95,Returned,01-10-2023,7500,1500
CUST0072,Male,East,27,Smartwatch,Wearables,200,1,200,18.38,In Transit,23-10-2023,200,40
CUST0073,Male,East,59,Smartphone,Electronics,1658,2,1600,11.59,In Transit,01-02-2023,3316,663.2
CUST0074,Male,North,46,Monitor,Electronics,300,5,1500,13.31,Returned,08-12-2023,1500,300
CUST0075,Female,East,64,Laptop,Electronics,1500,5,7500,6.53,Returned,03-12-2023,7500,1500
CUST0076,Male,West,66,Mouse,Accessories,470,1,1368,11.36,In Transit,29-06-2023,470,94
CUST0077,Male,North,46,Smartphone,Electronics,800,2,1600,9.72,Delivered,12-02-2023,1600,320
CUST0078,Female,West,67,Mouse,Accessories,470,3,90,5.65,In Transit,13-09-2023,1410,282
CUST0079,Female,West,64,Monitor,Electronics,300,1,300,6.55,Returned,01-08-2023,300,60
CUST0080,Female,North,63,Laptop,Electronics,1500,1,1500,13.15,Delivered,08-03-2023,1500,300
CUST0081,Female,South,46,Laptop,Electronics,1500,4,6000,12.91,Delivered,25-01-2023,6000,1200
CUST0082,Female,East,32,Smartwatch,Wearables,200,5,1000,7.16,In Transit,21-06-2023,1000,200
CUST0083,Female,North,46,Keyboard,Accessories,50,2,100,13.82,In Transit,25-07-2023,100,20
CUST0084,Female,South,58,Headphones,Accessories,100,5,500,7.41,Delivered,17-09-2023,500,100
CUST0085,Male,East,58,Keyboard,Accessories,470,2,100,9.57,Returned,30-08-2023,940,188
